05-11-2016,11:00 PM,11.00 pm to 1.00 am,CL,Kallang,1.31200000,103.86200000
05-11-2016,11:00 PM,11.00 pm to 1.00 am,CL,Lim Chu Kang,1.42300000,103.71733200
05-11-2016,11:00 PM,11.00 pm to 1.00 am,CL,Mandai,1.41900000,103.81200000
05-11-2016,11:00 PM,11.00 pm to 1.00 am,CL,Marine Parade,1.29700000,103.89100000
05-11-2016,11:00 PM,11.00 pm to 1.00 am,CL,Novena,1.32700000,103.82600000
05-11-2016,11:00 PM,11.00 pm to 1.00 am,CL,Pasir Ris,1.37000000,103.94800000
05-11-2016,11:00 PM,11.00 pm to 1.00 am,CL,Paya Lebar,1.35800000,103.91400000
05-11-2016,11:00 PM,11.00 pm to 1.00 am,CL,Pioneer,1.31500000,103.67500000
05-11-2016,11:00 PM,11.00 pm to 1.00 am,CL,Pulau Tekong,1.40300000,104.05300000
05-11-2016,11:00 PM,11.00 pm to 1.00 am,CL,Pulau Ubin,1.40400000,103.96000000
05-11-2016,11:00 PM,11.00 pm to 1.00 am,CL,Punggol,1.40100000,103.90400000
05-11-2016,11:00 PM,11.00 pm to 1.00 am,CL,Queenstown,1.29100000,103.78576000
05-11-2016,11:00 PM,11.00 pm to 1.00 am,CL,Seletar,1.40400000,103.86900000
05-11-2016,11:00 PM,11.00 pm to 1.00 am,CL,Sembawang,1.44500000,103.81849500
05-11-2016,11:00 PM,11.00 pm to 1.00 am,CL,Sengkang,1.38400000,103.89144300
05-11-2016,11:00 PM,11.00 pm to 1.00 am,CL,Sentosa,1.24300000,103.83200000
05-11-2016,11:00 PM,11.00 pm to 1.00 am,CL,Serangoon,1.35700000,103.86500000
05-11-2016,11:00 PM,11.00 pm to 1.00 am,CL,Southern Islands,1.20800000,103.84200000
05-11-2016,11:00 PM,11.00 pm to 1.00 am,CL,Sungei Kadut,1.41300000,103.75600000
05-11-2016,11:00 PM,11.00 pm to 1.00 am,CL,Tampines,1.34500000,103.94400000
05-11-2016,11:00 PM,11.00 pm to 1.00 am,CL,Tanglin,1.30800000,103.81300000
05-11-2016,11:00 PM,11.00 pm to 1.00 am,CL,Tengah,1.37400000,103.71500000
05-11-2016,11:00 PM,11.00 pm to 1.00 am,CL,Toa Payoh,1.33430400,103.85632700
