DateTime,Name,Direction,FarEndPoint,StartPoint,EndPoint,EstTime
00:03,BKE,1,WOODLANDS CENTRE,BKE/PIE INTERCHANGE,DIARY FARM,2
00:03,BKE,1,WOODLANDS CENTRE,DIARY FARM,BUKIT PANJANG RD,1
00:03,BKE,1,WOODLANDS CENTRE,BUKIT PANJANG RD,BKE/KJE INTERCHANGE,2
00:03,BKE,1,WOODLANDS CENTRE,BKE/KJE INTERCHANGE,MANDAI RD,2
00:03,BKE,1,WOODLANDS CENTRE,MANDAI RD,BKE/SLE INTERCHANGE,1
00:03,BKE,1,WOODLANDS CENTRE,BKE/SLE INTERCHANGE,WOODLANDS AVE 3,1
00:03,BKE,1,WOODLANDS CENTRE,WOODLANDS AVE 3,WOODLANDS CENTRE,1
00:03,BKE,2,PIE,WOODLANDS CENTRE,BKE/SLE INTERCHANGE,2
00:03,BKE,2,PIE,BKE/SLE INTERCHANGE,MANDAI RD,1
00:03,BKE,2,PIE,MANDAI RD,BKE/KJE INTERCHANGE,2
00:03,BKE,2,PIE,BKE/KJE INTERCHANGE,BUKIT PANJANG RD,2
00:03,BKE,2,PIE,BUKIT PANJANG RD,DIARY FARM ROAD,1
00:03,BKE,2,PIE,DIARY FARM ROAD,BKE/PIE INTERCHANGE,3
00:03,CTE,1,SLE/CTE INTERCHANGE,AYE/CTE INTERCHANGE,OUTRAM RD,1
00:03,CTE,1,SLE/CTE INTERCHANGE,OUTRAM RD,CLEMENCEAU AVE,1
00:03,CTE,1,SLE/CTE INTERCHANGE,CLEMENCEAU AVE,MOULMEIN RD,4
00:03,CTE,1,SLE/CTE INTERCHANGE,MOULMEIN RD,JALAN BAHAGIA,1
00:09,AYE,2,CITY,YUAN CHING RD,JURONG TOWN HALL RD,2
00:15,AYE,1,TUAS CHECKPOINT,PENJURU RD,JURONG PORT RD,2
00:27,AYE,2,CITY,PIONEER CIRCUS,JALAN BOON LAY,2
01:04,BKE,1,WOODLANDS CENTRE,BUKIT PANJANG RD,BKE/KJE INTERCHANGE,1
